W0428 13:33:04.937000 148385 .venv/lib/python3.13/site-packages/torch/_inductor/utils.py:1731] [0/0] Not enough SMs to use max_autotune_gemm mode
Vocab size: 50257
Parameters: 67,624,520  (67.6M)
Architecture: prelude=2 + core×1 + coda=2
Novel: TopicConditioned FFN (8 topics, embed_dim=64)
Novel: Verification loss mult = 3.0x
Batch: 16×512 | accum: 2 | 16,384 tok/step
Time budget: 1800s
Topic token mapping: 8 topics registered

step 0140 (1.8%) | lm: 3.0866 | topic: 1.193 | lr: 1.10e-03 | tok/s: 66,185 | vram: 4372MB | remain: 1767s   
step 0141 (1.8%) | lm: 3.0647 | topic: 1.185 | lr: 1.11e-03 | tok/s: 65,774 | vram: 4372MB | remain: 1767s   
step 0142 (1.9%) | lm: 3.0716 | topic: 1.243 | lr: 1.11e-03 | tok/s: 66,056 | vram: 4372MB | remain: 1766s   
step 0143 (1.9%) | lm: 3.0676 | topic: 1.181 | lr: 1.12e-03 | tok/s: 66,267 | vram: 4372MB | remain: 1766s   
step 0144 (1.9%) | lm: 3.0497 | topic: 1.175 | lr: 1.13e-03 | tok/s: 66,403 | vram: 4372MB | remain: 1766s   
step 0145 (1.9%) | lm: 3.0350 | topic: 1.064 | lr: 1.14e-03 | tok/s: 65,872 | vram: 4372MB | remain: 1766s   
step 0146 (1.9%) | lm: 3.0609 | topic: 1.168 | lr: 1.15e-03 | tok/s: 66,153 | vram: 4372MB | remain: 1765s   
step 0147 (1.9%) | lm: 3.0238 | topic: 1.136 | lr: 1.16e-03 | tok/s: 65,860 | vram: 4372MB | remain: 1765s   
step 0148 (1.9%) | lm: 3.0193 | topic: 1.023 | lr: 1.16e-03 | tok/s: 66,244 | vram: 4372MB | remain: 1765s   
step 0149 (2.0%) | lm: 3.0153 | topic: 0.985 | lr: 1.17e-03 | tok/s: 66,192 | vram: 4372MB | remain: 1765s   
step 0150 (2.0%) | lm: 3.0224 | topic: 0.979 | lr: 1.18e-03 | tok/s: 66,258 | vram: 4372MB | remain: 1764s   
step 0151 (2.0%) | lm: 3.0004 | topic: 0.947 | lr: 1.19e-03 | tok/s: 65,668 | vram: 4372MB | remain: 1764s   
step 0152 (2.0%) | lm: 2.9699 | topic: 0.992 | lr: 1.20e-03 | tok/s: 66,413 | vram: 4372MB | remain: 1764s   
step 0153 (2.0%) | lm: 2.9711 | topic: 0.958 | lr: 1.21e-03 | tok/s: 66,258 | vram: 4372MB | remain: 1764s   
step 0154 (2.0%) | lm: 2.9496 | topic: 1.138 | lr: 1.21e-03 | tok/s: 65,979 | vram: 4372MB | remain: 1763s   
step 0155 (2.0%) | lm: 2.9366 | topic: 1.114 | lr: 1.22e-03 | tok/s: 65,582 | vram: 4372MB | remain: 1763s   
step 0156 (2.1%) | lm: 2.9367 | topic: 1.140 | lr: 1.23e-03 | tok/s: 66,094 | vram: 4372MB | remain: 1763s   
step 0157 (2.1%) | lm: 2.9033 | topic: 1.084 | lr: 1.24e-03 | tok/s: 66,274 | vram: 4372MB | remain: 1763s   
step 0158 (2.1%) | lm: 2.9061 | topic: 1.014 | lr: 1.25e-03 | tok/s: 65,915 | vram: 4372MB | remain: 1762s   
step 0159 (2.1%) | lm: 2.8961 | topic: 1.031 | lr: 1.26e-03 | tok/s: 65,734 | vram: 4372MB | remain: 1762s   
step 0160 (2.1%) | lm: 2.8731 | topic: 1.006 | lr: 1.26e-03 | tok/s: 66,323 | vram: 4372MB | remain: 1762s   
step 0161 (2.1%) | lm: 2.8700 | topic: 0.963 | lr: 1.27e-03 | tok/s: 65,969 | vram: 4372MB | remain: 1762s   
step 0162 (2.1%) | lm: 2.8607 | topic: 0.990 | lr: 1.28e-03 | tok/s: 66,256 | vram: 4372MB | remain: 1761s   
step 0163 (2.1%) | lm: 2.8458 | topic: 1.002 | lr: 1.29e-03 | tok/s: 65,737 | vram: 4372MB | remain: 1761s   
step 0164 (2.2%) | lm: 2.8321 | topic: 1.027 | lr: 1.30e-03 | tok/s: 66,231 | vram: 4372MB | remain: 1761s   
step 0165 (2.2%) | lm: 2.8429 | topic: 0.982 | lr: 1.30e-03 | tok/s: 66,561 | vram: 4372MB | remain: 1761s   
step 0166 (2.2%) | lm: 2.8437 | topic: 0.915 | lr: 1.31e-03 | tok/s: 65,959 | vram: 4372MB | remain: 1760s   
step 0167 (2.2%) | lm: 2.8394 | topic: 0.904 | lr: 1.32e-03 | tok/s: 66,114 | vram: 4372MB | remain: 1760s   
step 0168 (2.2%) | lm: 2.8343 | topic: 0.899 | lr: 1.33e-03 | tok/s: 66,194 | vram: 4372MB | remain: 1760s   
step 0169 (2.2%) | lm: 2.8212 | topic: 1.039 | lr: 1.34e-03 | tok/s: 65,949 | vram: 4372MB | remain: 1760s   
step 0170 (2.2%) | lm: 2.8019 | topic: 1.051 | lr: 1.35e-03 | tok/s: 65,719 | vram: 4372MB | remain: 1759s   
step 0171 (2.3%) | lm: 2.8085 | topic: 0.946 | lr: 1.35e-03 | tok/s: 66,193 | vram: 4372MB | remain: 1759s   
step 0172 (2.3%) | lm: 2.7857 | topic: 0.968 | lr: 1.36e-03 | tok/s: 66,223 | vram: 4372MB | remain: 1759s   
step 0173 (2.3%) | lm: 2.8129 | topic: 0.871 | lr: 1.37e-03 | tok/s: 66,214 | vram: 4372MB | remain: 1759s   
step 0174 (2.3%) | lm: 2.7853 | topic: 0.812 | lr: 1.38e-03 | tok/s: 67,032 | vram: 4372MB | remain: 1758s   
step 0175 (2.3%) | lm: 2.7857 | topic: 1.006 | lr: 1.39e-03 | tok/s: 65,521 | vram: 4372MB | remain: 1758s   
step 0176 (2.3%) | lm: 2.7655 | topic: 0.905 | lr: 1.40e-03 | tok/s: 65,938 | vram: 4372MB | remain: 1758s   
step 0177 (2.3%) | lm: 2.7444 | topic: 0.883 | lr: 1.40e-03 | tok/s: 66,093 | vram: 4372MB | remain: 1758s   
