W0428 12:20:17.796000 110737 .venv/lib/python3.13/site-packages/torch/_inductor/utils.py:1731] [0/0] Not enough SMs to use max_autotune_gemm mode
Vocab size: 50,257
Parameters: 67,213,824  (67.2M)
Architecture: prelude=2 + core×1 + coda=2
MoE: False  |  LTI: False  |  LoRA: 0  |  GradCkpt: True
Batch: 16×512 | accum: 2 | 16,384 tok/step
Time budget: 1800s

step 0151 (1.9%) | loss: 3.0388 | lr: 1.13e-03 | dt: 234ms | tok/s: 69,909 | vram: 2039MB | remain: 1766s   
step 0152 (1.9%) | loss: 3.0631 | lr: 1.14e-03 | dt: 238ms | tok/s: 68,783 | vram: 2039MB | remain: 1766s   
step 0153 (1.9%) | loss: 3.0340 | lr: 1.15e-03 | dt: 237ms | tok/s: 69,115 | vram: 2039MB | remain: 1765s   
step 0154 (1.9%) | loss: 3.0377 | lr: 1.16e-03 | dt: 236ms | tok/s: 69,455 | vram: 2039MB | remain: 1765s   
step 0155 (1.9%) | loss: 3.0260 | lr: 1.16e-03 | dt: 239ms | tok/s: 68,505 | vram: 2039MB | remain: 1765s   
step 0156 (2.0%) | loss: 3.0463 | lr: 1.17e-03 | dt: 235ms | tok/s: 69,677 | vram: 2039MB | remain: 1765s   
step 0157 (2.0%) | loss: 3.0156 | lr: 1.18e-03 | dt: 237ms | tok/s: 68,985 | vram: 2039MB | remain: 1764s   
step 0158 (2.0%) | loss: 2.9775 | lr: 1.19e-03 | dt: 235ms | tok/s: 69,617 | vram: 2039MB | remain: 1764s   
step 0159 (2.0%) | loss: 2.9744 | lr: 1.19e-03 | dt: 237ms | tok/s: 69,254 | vram: 2039MB | remain: 1764s   
step 0160 (2.0%) | loss: 2.9921 | lr: 1.20e-03 | dt: 238ms | tok/s: 68,894 | vram: 2039MB | remain: 1764s   
step 0161 (2.0%) | loss: 2.9706 | lr: 1.21e-03 | dt: 237ms | tok/s: 69,134 | vram: 2039MB | remain: 1763s   
step 0162 (2.0%) | loss: 2.9474 | lr: 1.22e-03 | dt: 235ms | tok/s: 69,829 | vram: 2039MB | remain: 1763s   
step 0163 (2.0%) | loss: 2.9202 | lr: 1.23e-03 | dt: 237ms | tok/s: 69,049 | vram: 2039MB | remain: 1763s   
step 0164 (2.1%) | loss: 2.9607 | lr: 1.23e-03 | dt: 235ms | tok/s: 69,701 | vram: 2039MB | remain: 1763s   
step 0165 (2.1%) | loss: 2.9449 | lr: 1.24e-03 | dt: 236ms | tok/s: 69,564 | vram: 2039MB | remain: 1763s   
step 0166 (2.1%) | loss: 2.9293 | lr: 1.25e-03 | dt: 239ms | tok/s: 68,667 | vram: 2039MB | remain: 1762s   
step 0167 (2.1%) | loss: 2.9336 | lr: 1.26e-03 | dt: 235ms | tok/s: 69,719 | vram: 2039MB | remain: 1762s   
step 0168 (2.1%) | loss: 2.9438 | lr: 1.27e-03 | dt: 233ms | tok/s: 70,195 | vram: 2039MB | remain: 1762s   
step 0169 (2.1%) | loss: 2.8995 | lr: 1.27e-03 | dt: 239ms | tok/s: 68,621 | vram: 2039MB | remain: 1762s   
step 0170 (2.1%) | loss: 2.9326 | lr: 1.28e-03 | dt: 237ms | tok/s: 69,258 | vram: 2039MB | remain: 1761s   
step 0171 (2.1%) | loss: 2.9314 | lr: 1.29e-03 | dt: 239ms | tok/s: 68,563 | vram: 2039MB | remain: 1761s   
step 0172 (2.2%) | loss: 2.9281 | lr: 1.30e-03 | dt: 236ms | tok/s: 69,407 | vram: 2039MB | remain: 1761s   
step 0173 (2.2%) | loss: 2.9169 | lr: 1.30e-03 | dt: 239ms | tok/s: 68,669 | vram: 2039MB | remain: 1761s   
step 0174 (2.2%) | loss: 2.8885 | lr: 1.31e-03 | dt: 236ms | tok/s: 69,404 | vram: 2039MB | remain: 1760s   
step 0175 (2.2%) | loss: 2.9079 | lr: 1.32e-03 | dt: 238ms | tok/s: 68,792 | vram: 2039MB | remain: 1760s   
step 0176 (2.2%) | loss: 2.9057 | lr: 1.33e-03 | dt: 233ms | tok/s: 70,310 | vram: 2039MB | remain: 1760s   
step 0177 (2.2%) | loss: 2.8817 | lr: 1.34e-03 | dt: 240ms | tok/s: 68,164 | vram: 2039MB | remain: 1760s   
step 0178 (2.2%) | loss: 2.8700 | lr: 1.34e-03 | dt: 236ms | tok/s: 69,408 | vram: 2039MB | remain: 1759s   
step 0179 (2.3%) | loss: 2.8459 | lr: 1.35e-03 | dt: 240ms | tok/s: 68,335 | vram: 2039MB | remain: 1759s   
step 0180 (2.3%) | loss: 2.8302 | lr: 1.36e-03 | dt: 237ms | tok/s: 69,128 | vram: 2039MB | remain: 1759s   
step 0181 (2.3%) | loss: 2.8194 | lr: 1.37e-03 | dt: 236ms | tok/s: 69,296 | vram: 2039MB | remain: 1759s   
step 0182 (2.3%) | loss: 2.8254 | lr: 1.38e-03 | dt: 237ms | tok/s: 69,200 | vram: 2039MB | remain: 1758s   
